version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status pkt-src-aws-service pkt-dst-aws-service
5 123456789010 eni-abc123def0519 10.0.2.13 52.155.252.198 42807 8080 6 67 316760 1776548355 1776548602 ACCEPT OK - -
5 123456789010 eni-abc123def0215 10.0.2.15 52.150.166.220 48101 8080 6 8 1650516 1776557124 1776557418 REJECT OK - -
5 123456789010 eni-abc123def0550 10.0.1.48 52.128.68.165 39362 443 6 149 18772 1776561623 1776561786 ACCEPT OK - API_GATEWAY
5 123456789010 eni-abc123def0283 10.0.1.42 52.189.6.63 33013 80 6 103 1930854 1776577652 1776577663 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0310 10.0.1.55 52.115.43.64 48672 443 6 173 1837742 1776601250 1776601331 ACCEPT OK - -
5 123456789010 eni-abc123def0826 10.0.2.21 52.177.191.211 33683 8080 6 45 138608 1776604438 1776604656 ACCEPT OK - -
5 123456789010 eni-abc123def0366 10.0.1.49 52.91.127.248 53313 80 6 17 1421156 1776610933 1776611110 ACCEPT OK - API_GATEWAY
5 123456789010 eni-abc123def0687 10.0.2.22 52.126.28.128 40936 443 6 70 1622788 1776621871 1776622114 ACCEPT OK - SAGEMAKER
5 123456789010 eni-abc123def0163 10.0.2.25 52.175.127.25 60280 443 6 40 255705 1776637554 1776637795 ACCEPT OK - -
5 123456789010 eni-abc123def0928 10.0.2.13 52.167.43.150 46962 443 6 21 415712 1776661692 1776661907 REJECT OK - BEDROCK
5 123456789010 eni-abc123def0427 10.0.1.48 52.85.216.21 58533 443 6 165 311123 1776672831 1776672939 ACCEPT OK - -
5 123456789010 eni-abc123def0369 10.0.1.45 52.162.198.48 54315 80 6 52 935858 1776693462 1776693607 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0274 10.0.1.44 52.182.17.76 31315 443 6 31 156609 1776701650 1776701891 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0283 10.0.1.55 52.133.163.70 35104 8080 6 35 1053856 1776702374 1776702548 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0793 10.0.2.17 52.194.192.219 52853 80 6 60 979736 1776717941 1776718091 ACCEPT OK - COMPREHEND
